,id,title,releaseStatus,type,runtimeSeconds,rating,ratingCount,genres,description,duration,releaseYear,countriesOfOrigin,directors,writers,cast,suggestionsID,suggestionsTitle,keywords,quotes,imageUrl
11,tt0081846,Cosmos,True,movie,3600,9.3,47536,Documentary,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,1h,1980.0,"United States:,:United Kingdom",,,"Carl Sagan:,:Jaromír Hanzlík:,:Jonathan Fahn:,:Bob Hevelone:,:Jean Charney:,:Alan Belod:,:Cecilia White:,:Larry Soderblom:,:Bill Grant:,:Ronald A. Hilbert:,:Linda Morabito:,:Victor C. John:,:Arthur 'Lonne' Lane:,:Dana Hlavácová:,:Josef Vinklár","tt2395695:,:tt9253866:,:tt6769208:,:tt1806234:,:tt0071075:,:tt1533395:,:tt0296310:,:tt5491994:,:tt2092588:,:tt2571774:,:tt0092337:,:tt1508238","Cosmos: A Spacetime Odyssey:,:Our Planet:,:Blue Planet II:,:Human Planet:,:The World at War:,:Life:,:The Blue Planet:,:Planet Earth II:,:Frozen Planet:,:Africa:,:Dekalog:,:Apocalypse: The Second World War","scientific philosophy:,:lightyear:,:educational:,:unidentified flying object:,:venus","The cosmos is also within us, we're made of star-stuff. We are a way for the cosmos, to know itself.",https://m.media-amazon.com/images/M/MV5BOTA5MWFhMzAtOWU1OS00Yjk4LTlkNGItNGI3N2VkNzcyNGU2XkEyXkFqcGc@._V1_.jpg
12,tt9253866,Our Planet,True,movie,3000,9.2,55979,Documentary,"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematography.",50m,2019.0,"United States:,:United Kingdom",,,"David Attenborough:,:Israfeel Ahamed","tt6769208:,:tt5491994:,:tt0296310:,:tt0081846:,:tt1533395:,:tt2092588:,:tt2395695:,:tt1806234:,:tt2571774:,:tt0071075:,:tt1877514:,:tt1508238","Blue Planet II:,:Planet Earth II:,:The Blue Planet:,:Cosmos:,:Life:,:Frozen Planet:,:Cosmos: A Spacetime Odyssey:,:Human Planet:,:Africa:,:The World at War:,:The Vietnam War:,:Apocalypse: The Second World War","jungle:,:nature documentary:,:zoology:,:biology:,:ecology",,https://m.media-amazon.com/images/M/MV5BZDE1NzlkNWMtNzFiMC00ZTgxLTgyMmItOTU5OGI2NWQ4MDMxXkEyXkFqcGc@._V1_.jpg
13,tt0944947,Game of Thrones,True,movie,3600,9.2,2407544,"Action:,:Adventure:,:Drama","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",1h,2011.0,"United States:,:United Kingdom",,,"Emilia Clarke:,:Peter Dinklage:,:Kit Harington:,:Lena Headey:,:Sophie Turner:,:Maisie Williams:,:Nikolaj Coster-Waldau:,:Iain Glen:,:John Bradley:,:Alfie Allen:,:Conleth Hill:,:Liam Cunningham:,:Gwendoline Christie:,:Aidan Gillen:,:Isaac Hempstead Wright:,:Rory McCann:,:Nathalie Emmanuel:,:Jerome Flynn","tt0903747:,:tt11198330:,:tt4574334:,:tt7366338:,:tt3581920:,:tt1190634:,:tt1520211:,:tt3032476:,:tt2442560:,:tt0141842:,:tt1475582:,:tt10919420","Breaking Bad:,:House of the Dragon:,:Stranger Things:,:Chernobyl:,:The Last of Us:,:The Boys:,:The Walking Dead:,:Better Call Saul:,:Peaky Blinders:,:The Sopranos:,:Sherlock:,:Squid Game","based on novel:,:politics:,:nudity:,:dragon:,:incest","Any man who must say ""I am the king"" is no true king.",https://m.media-amazon.com/images/M/MV5BMTNhMDJmNmYtNDQ5OS00ODdlLWE0ZDAtZTgyYTIwNDY3OTU3XkEyXkFqcGc@._V1_.jpg
14,tt7678620,Bluey,True,movie,420,9.3,36879,"Animation:,:Family",The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,7m,2018.0,"Australia:,:United Kingdom:,:United States",,,"David McCormack:,:Melanie Zanetti:,:Ninthe van Schie:,:Brad Elliott:,:Dan Brumm:,:Myf Warhurst:,:Meg Washington:,:Chris Brumm:,:Daley Pearson:,:Frederique Sims:,:Emily Taheny:,:Richard Jeffery:,:Leigh Sales:,:Francis Stanton:,:Kelly Butler:,:Hamish Blake:,:Anthony Field:,:Patrick Brammall","tt32328599:,:tt35050950:,:tt0795176:,:tt0417299:,:tt1865718:,:tt4291050:,:tt0103359:,:tt1305826:,:tt3590338:,:tt3121722:,:tt0096657:,:tt3718778","Bluey Minisodes:,:Bluey: The Movie:,:Planet Earth:,:Avatar: The Last Airbender:,:Gravity Falls:,:Hey Duggee:,:Batman: The Animated Series:,:Adventure Time:,:Puffin Rock:,:PAW Patrol:,:Mr. Bean:,:Over the Garden Wall","blue heeler dog:,:family life:,:anthropomorphic dog:,:dog:,:sister sister relationship",,https://m.media-amazon.com/images/M/MV5BYWU1YmQzMjEtMDNjOS00MGIyLWExY2ItZDAzNmU5NWViMGZmXkEyXkFqcGc@._V1_.jpg
15,tt0071075,The World at War,True,movie,3120,9.2,32742,"Documentary:,:History:,:War","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",52m,1973.0,United Kingdom,,,"Laurence Olivier:,:Averell Harriman:,:Anthony Eden:,:Albert Speer:,:Siegfried Westphal:,:Lawrence Durrell:,:Wynford Vaughan-Thomas:,:Louis Mountbatten:,:J. Lawton Collins:,:Toshikazu Kase:,:Hans Kehrl:,:Kenneth Strong:,:Kay Summersby:,:Walter Warlimont:,:Francis de Guingand:,:Christabel Bielenberg:,:J.R. Colville:,:Ursula Gray","tt1533395:,:tt1877514:,:tt1508238:,:tt0081846:,:tt0081834:,:tt0092337:,:tt0098769:,:tt2395695:,:tt2092588:,:tt2571774:,:tt6769208:,:tt0296310","Life:,:The Vietnam War:,:Apocalypse: The Second World War:,:Cosmos:,:Das Boot:,:Dekalog:,:The Civil War:,:Cosmos: A Spacetime Odyssey:,:Frozen Planet:,:Africa:,:Blue Planet II:,:The Blue Planet","world war two:,:war propaganda:,:military alliance:,:soldier:,:military operation",,https://m.media-amazon.com/images/M/MV5BM2I1OGUyNmYtZmNiOC00OGQ4LWFlNDEtYTM5ZTAxMDI4ZmMyXkEyXkFqcGc@._V1_.jpg
16,tt1355642,Fullmetal Alchemist: Brotherhood,True,movie,1440,9.1,216490,"Animation:,:Action:,:Adventure",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,24m,2009.0,Japan,,,"Kent Williams:,:Iemasa Kayumi:,:Matthew Leonhart:,:Vic Mignogna:,:Romi Park:,:Muriel Hofmann:,:Lili Troncale:,:Rie Kugimiya:,:Maxey Whitehead:,:Travis Willingham:,:Shin'ichirô Miki:,:Colleen Clinkenbeard:,:Fumiko Orikasa:,:J. Michael Tatum:,:Kenta Miyake:,:Yûki Hayashi:,:Caitlin Glass:,:Monica Rial","tt2098220:,:tt0421357:,:tt0877057:,:tt2560140:,:tt12343534:,:tt10233448:,:tt0988824:,:tt9335498:,:tt1910272:,:tt0994314:,:tt0213338:,:tt0409591","Hunter x Hunter:,:Fullmetal Alchemist:,:Death Note:,:Attack on Titan:,:Jujutsu Kaisen:,:Vinland Saga:,:Naruto: Shippuden:,:Demon Slayer: Kimetsu no Yaiba:,:Steins;Gate:,:Code Geass:,:Cowboy Bebop:,:Naruto","alchemy:,:loss of limb:,:genocide:,:brother brother relationship:,:anime",,https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_.jpg
17,tt1533395,Life,True,movie,3000,9.1,45439,Documentary,"A global view of the specialized strategies and extreme behavior that living things have developed in order to survive; what Charles Darwin termed ""the struggle for existence.""",50m,2009.0,"United Kingdom:,:United States:,:Greece:,:Italy:,:Germany",,,"Oprah Winfrey:,:David Attenborough:,:Doug Allan:,:Roger Munns:,:Jonathan Smith:,:Michael Pitts:,:Barrie Britton:,:Kevin Flay:,:Justine Evans:,:Neil Lucas:,:Matthew Swarbrick:,:Stephen Lyle:,:Nick Guy:,:Martha Holmes:,:Doug Anderson:,:Rick Rosenthal:,:Adam Chapman:,:Tim Shepherd","tt0071075:,:tt2571774:,:tt2092588:,:tt1806234:,:tt2395695:,:tt0296310:,:tt9253866:,:tt6769208:,:tt1877514:,:tt0081846:,:tt5491994:,:tt0092337","The World at War:,:Africa:,:Frozen Planet:,:Human Planet:,:Cosmos: A Spacetime Odyssey:,:The Blue Planet:,:Our Planet:,:Blue Planet II:,:The Vietnam War:,:Cosmos:,:Planet Earth II:,:Dekalog","elephant:,:vulture:,:bear:,:monkey:,:dead animal",,https://m.media-amazon.com/images/M/MV5BZDJjMzJiMTktMWZkZi00YWY0LWJjNGUtY2ZmNTFlOThhZTA4XkEyXkFqcGc@._V1_.jpg
18,tt2861424,Rick and Morty,True,movie,1380,9.1,640268,"Animation:,:Adventure:,:Comedy",The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,23m,2013.0,United States,,,"Chris Parnell:,:Spencer Grammer:,:Sarah Chalke:,:Justin Roiland:,:Kari Wahlgren:,:Maurice LaMarche:,:Dan Harmon:,:Tom Kenny:,:Nolan North:,:Ryan Ridley:,:Brandon Johnson:,:Cassie Steele:,:Rob Schrab:,:Nick Reczynski:,:Ian Cardoni:,:Harry Belden:,:Echo Kellum:,:Keith David","tt1190634:,:tt0903747:,:tt2085059:,:tt4574334:,:tt0386676:,:tt0944947:,:tt3398228:,:tt1475582:,:tt28466465:,:tt0121955:,:tt8111088:,:tt0108778","The Boys:,:Breaking Bad:,:Black Mirror:,:Stranger Things:,:The Office:,:Game of Thrones:,:BoJack Horseman:,:Sherlock:,:Rick and Morty: The Anime:,:South Park:,:The Mandalorian:,:Friends","scientist:,:multiverse:,:adult animation:,:grandfather grandson relationship:,:monster",Wubba Lubba Dub Dub!,https://m.media-amazon.com/images/M/MV5BZGQyZjk2MzMtMTcyNC00NGU3LTlmNjItNDExMWM4ZDFhYmQ2XkEyXkFqcGc@._V1_.jpg
19,tt8420184,The Last Dance,True,movie,3000,9.0,164261,"Documentary:,:Biography:,:History","Led by Michael Jordan, the 1990s Chicago Bulls establish themselves as one of the most notable dynasties in sports history.",50m,2020.0,United States,,,"Michael Jordan:,:Phil Jackson:,:Scottie Pippen:,:David Aldridge:,:Steve Kerr:,:Michael Wilbon:,:Deloris Jordan:,:Andrea Kremer:,:Bill Wennington:,:John Paxson:,:Dennis Rodman:,:Ahmad Rashad:,:Bob Costas:,:David Stern:,:Jerry Reinsdorf:,:B.J. Armstrong:,:Sam Smith:,:Rick Telander","tt0185906:,:tt7366338:,:tt2707408:,:tt0386676:,:tt1475582:,:tt0306414:,:tt7137906:,:tt0098904:,:tt0141842:,:tt2395695:,:tt3032476:,:tt0944947","Band of Brothers:,:Chernobyl:,:Narcos:,:The Office:,:Sherlock:,:The Wire:,:When They See Us:,:Seinfeld:,:The Sopranos:,:Cosmos: A Spacetime Odyssey:,:Better Call Saul:,:Game of Thrones","nba:,:espn:,:reference to michael jordan:,:reference to chicago bulls:,:reference to phil jackson",,https://m.media-amazon.com/images/M/MV5BOTQyYmQ1N2UtYjFkNS00NzgyLTk5YTUtYjExMDdjOTA3MGU2XkEyXkFqcGc@._V1_.jpg
20,tt0052520,The Twilight Zone,True,movie,3000,9.0,99625,"Drama:,:Fantasy:,:Horror","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",50m,1959.0,United States,,,"Rod Serling:,:Robert McCord:,:Jay Overholts:,:James Turley:,:Vaughn Taylor:,:David Armstrong:,:Jack Klugman:,:Burgess Meredith:,:John Anderson:,:J. Pat O'Malley:,:Barney Phillips:,:George Mitchell:,:Cyril Delevanti:,:Jon Lormer:,:Bill Erwin:,:Nan Peterson:,:Lew Brown:,:S. John Launer","tt0098904:,:tt0081846:,:tt2583620:,:tt0106179:,:tt0296310:,:tt0088634:,:tt0472954:,:tt2085059:,:tt0353049:,:tt2395695:,:tt0071075:,:tt0303461","Seinfeld:,:Cosmos:,:The Twilight Zone:,:The X-Files:,:The Blue Planet:,:The Twilight Zone:,:It's Always Sunny in Philadelphia:,:Black Mirror:,:Chappelle's Show:,:Cosmos: A Spacetime Odyssey:,:The World at War:,:Firefly","famous opening theme:,:anthology:,:series title spoken by narrator:,:paranormal phenomenon:,:hosted television series","There is a fifth dimension beyond that which is known to man. It is a dimension as vast as space and as timeless as infinity. It is the middle ground between light and shadow, between science and superstition, and it lies between the pit of man's fears and the summit of his knowledge. This is the dimension of imagination. It is an area which we call the Twilight Zone.",https://m.media-amazon.com/images/M/MV5BZjdmOTE3NjItY2JkMi00YjlhLWI0M2UtZjEwZTQ4ZDBkM2I0XkEyXkFqcGc@._V1_.jpg
21,tt1877514,The Vietnam War,True,movie,5400,9.1,30987,"Documentary:,:History:,:War",A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,1h 30m,2017.0,"United States:,:France",,,"Peter Coyote:,:Huy Duc:,:James Willbanks:,:Duong Van Mai Elliott:,:Joachim Król:,:Hans-Gerd Kilbinger:,:Simon Roden:,:Ernst August Schepmann:,:Maximilian Hilbrand:,:Josef Tratnik:,:Bernt Hahn:,:Renate Fuhrmann:,:Robert Steudtner:,:John Musgrave:,:Phan Quang Tue:,:Karl Marlantes:,:Nguyen Ngoc:,:Bao Ninh","tt0071075:,:tt0098769:,:tt1533395:,:tt1508238:,:tt0296310:,:tt0092337:,:tt0081834:,:tt0081846:,:tt1806234:,:tt4742876:,:tt2092588:,:tt2571774","The World at War:,:The Civil War:,:Life:,:Apocalypse: The Second World War:,:The Blue Planet:,:Dekalog:,:Das Boot:,:Cosmos:,:Human Planet:,:TVF Pitchers:,:Frozen Planet:,:Africa","vietnam war:,:american history:,:vietnamese history:,:civil war:,:tv mini series",,https://m.media-amazon.com/images/M/MV5BYTQ1ZWYzMmQtNWU5OC00YWY0LTkyMWMtMTU0NjYxMjJkMmNjXkEyXkFqcGc@._V1_.jpg
